ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
82,Canada,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,1,Male,Moderately,Mostly,Not Available,Moderately,Always,Always,Always,Rarely,Moderately,Not Available,Moderately,Always,Not Available,Always,Yes,Yes,"Gender Bias, Mental harrassment",Yes,Yes,Mental harrassment,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.","Supervisor, I don't know.",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,No,Mostly,Sometimes,Sometimes,Always,Sometimes,Always,,,"No, but I want to get involved",,,Rarely,Supportive,Sufficient,Sufficient,Insufficient,Insufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, None"
83,United Kingdom,United Kingdom,Male,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Moderately,Mostly,Not Available,Mostly,Rarely,Not Available,Always,Not Available,Mostly,Not Available,Mostly,Always,Always,Mostly,No,No,,Yes,No,Racial discrimination ,"Yes, I immediately responded.",Advised the concerned person on how best to deal with the situation.,Designated committee,The concerned person did not wish to pursue the issue further.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?","Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Emotional distress ",Maybe,Maybe,Mostly,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Better organised lab results in efficient work place.,,"No, but I want to get involved",,Being fair and fighting against unconscious bias.,Sometimes,Disrespectful,Sufficient,Insufficient,Sufficient,Sufficient,"Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s), Changing platform for babies only in ladies toilets"
84,Germany,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,6,1,Male,Never,Moderately,Not Available,Not Available,Moderately,Always,Moderately,Not Available,Mostly,Not Available,Not Available,Always,Not Available,Mostly,Yes,No,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",Human Resources,,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, More biased and wrong information being spread against me.",Yes,Yes,Always,Rarely,Never,Always,Mostly,Sometimes,Recognition and experience,Lack of time or clash of personalities,Yes,events/conferences that educate and address gender bias,Equal respect in terms of weight to their suggestions and opinions. No prejudice environment,Mostly,Unwelcome,Sufficient,Sufficient,Sufficient,Insufficient,None
85,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",CEO and Founder in Company 1 and Founder and Head of Biology in Company 2.,Industry,2,1,Male,Mostly,Always,Mostly,Always,Moderately,Not Available,Always,Mostly,Always,Mostly,Always,Mostly,Mostly,Always,No,No,,Yes,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",I don't know.,Did not complaint,Not comfortable,Did not report. ,Did not report. ,Yes,Maybe,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Just to get the job done. ,There is nothing that I do NOT do. I do as much as anyone in the work environment can do. ,Yes,Celebrating Woman's day has been a practice in work environment and I contribute in whatever ways we are asked to. ,safety in terms of any criminal and discriminatory activities. ,Mostly,Supportive,Sufficient,None,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, Changing platform for babies only in ladies toilets"
86,India,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,0,2,Female,Moderately,Mostly,Mostly,Mostly,Mostly,Moderately,Mostly,Rarely,Never,Moderately,Moderately,Always,Moderately,Mostly,No,Yes,"Gender Bias, Mental harrassment",Yes,No,"Gender bias, Mental harrassment","No, I was discouraged from responding to the incident.","No, I was afraid of being misjudged.",I don't know.,didn't complain,Somewhat comfortable,didn't report,didn't report,Yes,Yes,Sometimes,Always,Always,Rarely,Always,Rarely,Mental torture,There was no option of not volunteering,Yes,"Attend Women in Neuroscience discussions, supported my colleague from a minority group throughout his Ph.D. and for its completion",,Never,Unwelcome,Sufficient,Insufficient,Insufficient,Insufficient,None
87,Germany,Germany,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,0,Male,Always,Moderately,Not Available,Mostly,Never,Never,Rarely,Moderately,Mostly,Not Available,Mostly,Mostly,Moderately,Mostly,Yes,No,Gender Bias,Yes,No,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.","Supervisor, Designated committee",,,,,Maybe,Maybe,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Mostly,,,Yes,Soapbox Science speaker and volunteer,"No gender bias in role assignment, support system from organisation",Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
88,Canada,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,1,Female,Rarely,Moderately,Not Available,Moderately,Always,Not Available,Mostly,Mostly,Moderately,Not Available,Not Available,Always,Always,Not Available,No,No,,No,Yes,Discrimination due to maternity reasons,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,,,,,Maybe,Maybe,Mostly,Sometimes,Mostly,Sometimes,Sometimes,Sometimes,,,Yes,,Strict action against discrimination towards women because they are or can be mothers.,Mostly,Disrespectful,Insufficient,Insufficient,Sufficient,Sufficient,None
89,Saudi Arabia,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Research institution,2,0,Male,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Not Available,Mostly,Mostly,Mostly,Always,Always,Mostly,No,Yes,Emotional harrassment,No,No,,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.",Supervisor,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Maybe,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Mostly,,because female colleagues are already willing to do the job and I dont find this very rewarding myself. ,Yes,helped in events like hostel and birthday parties,females generally need technical support which should be provided,Mostly,Supportive,Sufficient,Sufficient,Insufficient,Sufficient,None
90,United States,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,2,Male,Moderately,Mostly,Mostly,Always,Mostly,Moderately,Mostly,Moderately,Moderately,Mostly,Always,Always,Moderately,Mostly,No,Yes,"Gender Bias, Emotional harrassment, Mental harrassment, Plagiarism",Yes,No,"Gender bias, Mental harrassment","Yes, but I responded later.","Yes, I reported the issue.",Supervisor,The person who was harassing was told to stay off,Not comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?","Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,No,Mostly,Sometimes,Mostly,Always,Always,Sometimes,,I have too many other research work and experiments and too busy to organize meetings etc,Yes,,,Sometimes,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, Changing platform for babies only in ladies toilets, Changing platform for babies in both gents/ ladies toilets"
91,Germany,France,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,1,Male,Moderately,Mostly,Not Available,Rarely,Always,Always,Mostly,Rarely,Mostly,Not Available,Mostly,Always,Not Available,Mostly,No,No,,No,No,,,,"Designated committee, I don't know.",,,,,Yes,Yes,Mostly,Always,Sometimes,Always,Rarely,Mostly,,,"No, I don’t have such opportunities",,,Sometimes,Neutral,Sufficient,Sufficient,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
92,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Looking for postdoc position.,Research institution,2,2,Female,Moderately,Mostly,Moderately,Mostly,Always,Always,Mostly,Always,Mostly,Moderately,Always,Always,Mostly,Mostly,Yes,No,Gender Bias,No,Yes,Gender bias,"No, I was afraid of furthering the issue.","No, I did not bother to report.",Designated committee,,Not comfortable,,,Yes,Yes,Always,Mostly,Sometimes,Mostly,Sometimes,Sometimes,Authenticity of reagents. And lab management,,"No, I don’t have time for such activities",,No gender bias. ,Sometimes,Unwelcome,Sufficient,Sufficient,Sufficient,Insufficient,Nursing room(s)
93,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,3,Female,Always,Mostly,Always,Moderately,Always,Always,Always,Moderately,Mostly,Moderately,Moderately,Always,Always,Always,No,Yes,"Emotional harrassment, Mental harrassment",No,Yes,"Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I did not bother to report.",Supervisor,No actions were taken.,Not comfortable,No,Unfriendly work environment,Maybe,No,Sometimes,Mostly,Sometimes,Sometimes,Rarely,Mostly,None,,Yes,Have encouraged them to actively involved in work when they are not sure about what to be done. Have spoken on behalf of them in front of the supervisor.,Stay supportive.everybody has issues with personal or professional lives. The PI has to be forthcoming to not compare with others in the lab.,Sometimes,Disrespectful,Insufficient,Insufficient,None,None,"On-site or subsidized childcare (nursery, kindergarten)"
94,Germany,India,Male,30 - 40,Don't want to specify,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,4,Female,Moderately,Mostly,Not Available,Mostly,Always,Not Available,Always,Moderately,Moderately,Not Available,Mostly,Always,Not Available,Always,No,No,,Yes,Not sure,Gender bias,"No, I was afraid of furthering the issue.",It was before my joining,Human Resources,,,,,Yes,Yes,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Just a feeling of group,,Yes,I organized a female colleagues graduation party,"Treat them as equal, put yourself in their shoes and think how you would feel if you were treated unequally. ",Mostly,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,Extension of work contract to cover the personal leave
95,India,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Research institution,4,0,Male,Always,Moderately,Not Available,Mostly,Always,Always,Mostly,Not Available,Moderately,Not Available,Mostly,Always,Not Available,Mostly,Yes,No,Gender Bias,No,Yes,"Gender bias, Sexual harrassment, Emotional harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Direct change in working conditions",No,Yes,Yes,Always,Sometimes,Sometimes,Mostly,Sometimes,Mostly,"Collegiality, moving team forward",,Yes,Served on Committees,"Clear mechanisms for grievance redressal, role models",Sometimes,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, On-site or subsidized childcare (nursery, kindergarten)"
96,United Arab Emirates,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Assistant professor (academic),University,3,3,Male,Mostly,Mostly,Mostly,Moderately,Always,Always,Always,Mostly,Always,Mostly,Moderately,Always,Always,Always,Not sure,No,,No,No,,,,"Supervisor, Human Resources",,,,,Maybe,Yes,Mostly,Mostly,Sometimes,Mostly,Sometimes,Sometimes,,"Teaching, research and family take up a lot of time,","No, I don’t have such opportunities",,Nursing rooms for pumping and storing milk post maternity break,Mostly,Neutral,Sufficient,Insufficient,Insufficient,Sufficient,None
97,Germany,Greece,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student and work in office as administration,University,5,1,Male,Rarely,Mostly,Not Available,Moderately,Moderately,Mostly,Mostly,Mostly,Mostly,Not Available,Mostly,Moderately,Not Available,Mostly,Not sure,Not sure,"Gender Bias, Sexual harrassment",Yes,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.","Designated committee, I don't know.",,Not comfortable,,,Maybe,Maybe,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Always,needs to be done,,"No, I don’t have such opportunities",,Respect and family support.,Rarely,Supportive,Sufficient,Sufficient,Sufficient,None,i don't know
98,Germany,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,1,Male,Mostly,Always,Moderately,Mostly,Mostly,Mostly,Always,Mostly,Always,Moderately,Mostly,Always,Always,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Mostly,Mostly,Mostly,Always,Mostly,Sometimes,,,Yes,,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Extension of work contract to cover the personal leave
99,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,1,Male,Mostly,Mostly,Not Available,Always,Always,Always,Always,Always,Always,Not Available,Always,Always,Always,Always,No,No,,No,Yes,Mental harrassment,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,,Not comfortable,,,Yes,Yes,Sometimes,Always,Mostly,Always,Sometimes,Always,Smooth working of the lab,,"No, but I want to get involved",,,Mostly,Supportive,Insufficient,None,Insufficient,Insufficient,None
100,Czech Republic,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,1,3,Female,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,No,,No,No,,"Yes, I immediately responded.","Yes, I reported the issue.",Human Resources,Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Maybe,Maybe,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,,Yes,Libra project ,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Flexible HR policy or other administrative support
101,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Industry,3,2,Female,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,No,No,,No,No,,"Yes, I immediately responded.","Yes, I reported the issue.",Human Resources,Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Maybe,Yes,Mostly,Sometimes,Never,Always,Mostly,Mostly,,,Yes,,,Mostly,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Nursing room(s)"
102,India,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,1,0,Male,Not Available,Always,Not Available,Moderately,Always,Always,Always,Not Available,Always,Not Available,Not Available,Always,Always,Always,No,No,,No,No,,"Yes, I immediately responded.","No, I did not bother to report.",Supervisor,Strict actions were taken.,Somewhat comfortable,Not witnessed any issues,Not witnessed,Yes,Yes,Always,Always,Sometimes,Sometimes,Always,Always,,,"No, I don’t have such opportunities",,,Always,Supportive,None,None,Sufficient,Sufficient,Nursing room(s)
103,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,2,2,Female,Moderately,Mostly,Not Available,Rarely,Always,Always,Always,Moderately,Mostly,Not Available,Not Available,Always,Not Available,Always,Yes,No,"Gender Bias, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment",Sometimes I did and sometimes I did not,"No, I did not know whom to report.","Supervisor, Human Resources",Not applicable ,Did not report,Did not report,Did not report,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, but I want to get involved",,not sure,Always,not sure,Insufficient,Sufficient,Sufficient,Sufficient,None
